motif,count,frequency,zscore
1,5.0,0.13157894736842105,0.6400616479308786
2,3.0,0.07894736842105263,-0.4138298228640216
3,17.0,0.4473684210526316,2.6647521284362825
4,5.0,0.13157894736842105,0.5995071974634546
5,1.0,0.02631578947368421,-1.2578865135665689
6,3.0,0.07894736842105263,-0.36262158597634714
7,0.0,0.0,-0.9074802044309767
8,0.0,0.0,-0.8774824426024511
9,0.0,0.0,-0.7035687600822249
10,3.0,0.07894736842105263,1.3457845747685446
11,1.0,0.02631578947368421,-0.39262453274853265
12,0.0,0.0,-0.7185819009718912
13,0.0,0.0,-0.19044534662683052
